,geo_A_id,geo_B_id,task_id,winner_side,winner_ID,loser_ID
205,204,4295,224249,B,4295,204
206,205,4104,210814,B,4104,205
207,206,4784,224445,B,4784,206
208,115,444,210815,B,444,115
209,207,1674,224271,A,207,1674
210,208,2683,210816,A,208,2683
211,209,4356,224251,B,4356,209
212,210,1841,210817,A,210,1841
213,211,653,224293,A,211,653
214,212,2945,210818,B,2945,212
215,213,368,224275,B,368,213
216,214,4659,210819,B,4659,214
217,215,2678,224254,A,215,2678
218,216,4331,210820,B,4331,216
219,217,2544,224532,B,2544,217
220,218,521,210821,A,218,521
221,219,4133,224279,A,219,4133
222,220,1245,210822,A,220,1245
223,221,3722,224295,A,221,3722
224,222,2687,210823,B,2687,222
225,223,1068,224256,A,223,1068
226,224,4632,210824,B,4632,224
227,225,3855,224281,A,225,3855
228,226,1255,210825,B,1255,226
229,227,837,224467,A,227,837
230,228,1837,210826,B,1837,228
231,229,2829,224257,A,229,2829
232,132,2859,210827,B,2859,132
233,230,3115,224296,A,230,3115
234,231,2975,210828,A,231,2975
235,232,4646,224259,B,4646,232
236,233,1597,210829,B,1597,233
237,234,3329,224446,A,234,3329
238,235,3114,210830,A,235,3114
239,236,21,224298,B,21,236
240,237,470,210831,A,237,470
241,143,810,224260,B,810,143
242,238,1885,210832,A,238,1885
243,239,831,224503,A,239,831
244,240,3252,210833,A,240,3252
245,241,1287,224262,A,241,1287
246,242,464,210834,A,242,464
247,243,3368,224300,A,243,3368
248,244,1711,210835,A,244,1711
249,245,2538,224447,A,245,2538
250,246,3658,210836,B,3658,246
251,247,3378,224263,B,3378,247
252,248,1955,210837,A,248,1955
253,249,116,224301,A,249,116
254,250,3874,210838,A,250,3874
255,251,4631,224264,B,4631,251
256,252,2804,210839,B,2804,252
257,253,4355,224468,A,253,4355
258,254,2638,210840,A,254,2638
259,162,3240,224265,A,162,3240
260,255,4667,210841,B,4667,255
261,210,298,224303,A,210,298
262,256,3185,210842,A,256,3185
263,257,2098,224266,A,257,2098
264,258,3901,210843,B,3901,258
265,259,3869,224161,A,259,3869
266,260,187,210844,A,260,187
267,261,2146,224448,A,261,2146
268,262,186,210845,B,186,262
269,263,185,224162,A,263,185
270,264,599,210846,A,264,599
271,265,2426,224267,B,2426,265
272,266,980,210847,A,266,980
273,267,1831,224163,A,267,1831
274,268,3930,210848,A,268,3930
275,174,2264,224304,A,174,2264
276,269,2227,210849,B,2227,269
277,270,110,224164,B,110,270
278,271,1936,210850,B,1936,271
279,272,3351,224268,A,272,3351
280,273,492,210851,B,492,273
281,274,3956,224165,A,274,3956
282,275,1059,210852,A,275,1059
283,276,4698,224564,B,4698,276
284,277,1601,210853,B,1601,277
285,278,688,224166,A,278,688
286,279,3999,210854,B,3999,279
287,280,2140,224270,A,280,2140
288,281,580,210855,A,281,580
289,267,4171,224167,A,267,4171
290,282,714,210856,B,714,282
291,283,4289,224305,B,4289,283
292,284,378,210857,A,284,378
293,285,3812,224168,A,285,3812
294,286,1758,210858,B,1758,286
295,287,3222,224449,B,3222,287
296,288,1711,210859,B,1711,288
297,289,1952,224169,A,289,1952
298,290,3028,210860,A,290,3028
299,291,1940,224272,A,291,1940
300,292,467,210861,B,467,292
301,293,676,224170,B,676,293
302,294,2967,210862,A,294,2967
303,295,1490,224306,A,295,1490
304,296,2617,210863,A,296,2617
305,251,4425,224171,B,4425,251
306,297,2654,210864,B,2654,297
307,298,2419,224469,B,2419,298
308,299,2948,210865,A,299,2948
309,300,1337,224172,B,1337,300
310,125,799,210866,A,125,799
311,301,2521,224273,B,2521,301
312,302,1791,210867,A,302,1791
313,255,4052,224173,B,4052,255
314,303,258,210868,B,258,303
315,304,3740,224308,A,304,3740
316,305,2857,210869,B,2857,305
317,58,1140,224174,B,1140,58
318,306,2809,210870,B,2809,306
319,307,2194,224274,B,2194,307
320,308,4266,210871,A,308,4266
321,309,4150,224175,A,309,4150
322,310,150,210872,B,150,310
323,311,2010,224450,B,2010,311
324,312,2575,210873,B,2575,312
325,313,128,224176,B,128,313
326,314,4735,210874,A,314,4735
327,108,1140,224276,B,1140,108
328,315,2242,210875,B,2242,315
329,316,3378,224177,A,316,3378
330,317,3598,210876,A,317,3598
331,318,2659,224309,A,318,2659
332,319,2436,210877,B,2436,319
333,320,3889,224178,B,3889,320
334,321,550,210878,B,550,321
335,322,475,224504,A,322,475
336,323,1972,210879,A,323,1972
337,324,2374,224179,A,324,2374
338,325,4023,210880,B,4023,325
339,326,4426,224277,B,4426,326
340,327,3722,210881,A,327,3722
341,328,2110,224180,A,328,2110
342,329,3564,210882,B,3564,329
343,194,3468,224311,A,194,3468
344,330,3973,210883,B,3973,330
345,331,2371,224181,A,331,2371
346,332,4580,210884,A,332,4580
347,333,3199,224278,B,3199,333
348,334,643,210885,B,643,334
349,335,2024,224182,A,335,2024
350,336,3372,210886,B,3372,336
351,337,1233,224451,B,1233,337
352,338,1439,210887,B,1439,338
353,339,3210,224183,B,3210,339
354,340,224,210888,B,224,340
355,341,1184,224280,B,1184,341
356,342,2455,210889,A,342,2455
357,343,974,224184,B,974,343
358,344,1096,210890,A,344,1096
359,345,217,224312,B,217,345
360,346,1634,210891,A,346,1634
361,347,3233,224185,A,347,3233
362,348,319,210892,A,348,319
363,349,3412,224470,B,3412,349
364,350,3488,210893,A,350,3488
365,351,2966,224186,A,351,2966
366,352,4296,210894,B,4296,352
367,124,3254,224313,B,3254,124
368,192,397,210895,A,192,397
369,353,289,224187,B,289,353
370,354,534,210896,A,354,534
371,355,4354,224375,B,4354,355
372,356,525,210897,A,356,525
373,357,139,224188,B,139,357
374,358,4437,210898,B,4437,358
375,359,1158,224314,B,1158,359
376,360,48,210899,B,48,360
377,361,452,224189,B,452,361
378,362,1477,210900,B,1477,362
379,62,3732,224452,B,3732,62
380,363,3535,210901,A,363,3535
381,364,2134,224190,B,2134,364
382,365,2030,210902,A,365,2030
383,366,1866,224315,A,366,1866
384,367,3294,210903,B,3294,367
385,368,372,224191,B,372,368
386,369,452,210904,A,369,452
387,370,4094,224377,A,370,4094
388,371,175,210905,B,175,371
389,372,1554,224192,A,372,1554
390,373,1344,210906,A,373,1344
391,374,1840,224316,A,374,1840
392,375,361,210907,A,375,361
393,277,2815,224193,B,2815,277
394,376,1458,210908,B,1458,376
395,377,2016,224533,B,2016,377
396,378,1976,210909,B,1976,378
397,379,4451,224194,B,4451,379
398,380,4385,224318,B,4385,380
399,381,2472,210910,B,2472,381
400,382,846,224195,B,846,382
401,383,2386,210911,A,383,2386
402,384,4075,224378,A,384,4075
403,385,3605,210912,A,385,3605
404,386,2929,224196,A,386,2929
405,387,2991,210913,B,2991,387
406,388,2545,224319,B,2545,388
407,389,4370,210914,A,389,4370
408,390,627,224197,A,390,627
409,391,4732,210915,A,391,4732
410,392,1057,224453,B,1057,392
411,393,118,210916,B,118,393
412,394,1764,224198,A,394,1764
413,395,1169,210917,B,1169,395
414,19,860,224320,A,19,860
415,396,3505,210918,A,396,3505
416,397,1155,224199,B,1155,397
417,398,1586,210919,B,1586,398
418,399,125,224382,B,125,399
419,400,65,210920,A,400,65
420,401,4147,224200,B,4147,401
421,402,4738,210921,B,4738,402
422,403,2762,224322,A,403,2762
423,404,3257,210922,B,3257,404
424,405,4565,224201,B,4565,405
425,406,2632,210923,A,406,2632
426,407,945,224471,B,945,407
427,408,2933,210924,B,2933,408
428,409,486,224202,B,486,409
429,410,669,210925,B,669,410
430,411,2344,224383,A,411,2344
431,412,941,210926,B,941,412
432,413,996,224203,B,996,413
433,414,236,210927,A,414,236
434,415,2901,224454,A,415,2901
435,416,1313,210928,A,416,1313
436,417,4676,224204,A,417,4676
437,418,3140,210929,B,3140,418
438,419,2987,224384,B,2987,419
439,420,600,210930,A,420,600
440,421,2730,224205,A,421,2730
441,422,2175,210931,A,422,2175
442,423,597,224505,A,423,597
443,424,1890,210932,A,424,1890
444,151,1445,224206,A,151,1445
445,425,1659,210933,A,425,1659
446,426,2613,224386,B,2613,426
447,427,976,210934,B,976,427
448,428,4604,224207,B,4604,428
449,429,707,210935,A,429,707
450,430,1061,224455,B,1061,430
451,431,2294,210936,A,431,2294
452,432,4221,224208,A,432,4221
453,433,1049,210937,B,1049,433
454,434,4417,224387,A,434,4417
455,435,3087,210938,A,435,3087
456,436,1449,224209,A,436,1449
457,437,76,210939,B,76,437
458,438,3775,224472,A,438,3775
459,439,4132,210940,B,4132,439
460,440,2966,224210,A,440,2966
461,441,4168,210941,B,4168,441
462,442,1676,224388,B,1676,442
463,443,4437,210942,B,4437,443
464,444,4308,224211,A,444,4308
465,445,2704,210943,A,445,2704
466,446,891,224456,B,891,446
467,447,3215,210944,B,3215,447
468,448,3081,224212,B,3081,448
469,167,299,210945,B,299,167
470,449,4296,224389,B,4296,449
471,450,4685,210946,A,450,4685
472,451,2559,224213,A,451,2559
473,452,2432,210947,B,2432,452
474,453,436,224545,B,436,453
475,454,2827,210948,B,2827,454
476,455,2867,224214,A,455,2867
477,456,385,210949,A,456,385
478,457,218,224390,B,218,457
479,458,1142,210950,B,1142,458
480,459,375,224215,B,375,459
481,460,4454,210951,A,460,4454
482,461,495,224457,B,495,461
483,462,2700,210952,B,2700,462
484,463,576,224216,B,576,463
485,464,1413,210953,B,1413,464
486,465,1724,224391,A,465,1724
487,221,1675,210954,A,221,1675
488,466,899,224217,A,466,899
489,467,2776,210955,A,467,2776
490,160,2167,224473,A,160,2167
491,468,3911,210956,B,3911,468
492,469,3332,224218,B,3332,469
493,470,3237,210957,B,3237,470
494,471,4102,224392,B,4102,471
495,472,1658,210958,A,472,1658
496,321,2048,224219,B,2048,321
497,473,2630,210959,B,2630,473
498,474,2318,224458,A,474,2318
499,287,3872,210960,A,287,3872
500,475,4436,224220,A,475,4436
501,476,2125,210961,B,2125,476
502,477,805,224393,B,805,477
503,478,4222,210962,B,4222,478
504,479,3295,224506,B,3295,479
505,480,175,210963,B,175,480
506,481,3022,224394,B,3022,481
507,482,989,210964,A,482,989
508,482,989,209493,A,482,989
509,483,139,224459,A,483,139
510,484,1975,209494,A,484,1975
511,484,1975,210965,A,484,1975
512,485,1288,224395,B,1288,485
513,486,2473,210966,B,2473,486
514,486,2473,209495,B,2473,486
515,487,4282,224474,A,487,4282
516,488,2966,209496,A,488,2966
517,488,2966,210967,A,488,2966
518,489,397,224396,A,489,397
519,490,2083,209497,B,2083,490
520,490,2083,210968,B,2083,490
521,491,4456,224460,B,4456,491
522,492,4671,210969,A,492,4671
523,492,4671,209498,A,492,4671
524,493,405,224397,A,493,405
525,494,1356,210970,B,1356,494
526,494,1356,209499,B,1356,494
527,231,648,224534,B,648,231
528,495,4155,209500,A,495,4155
529,495,4155,210971,A,495,4155
530,496,4095,224398,B,4095,496
531,497,3191,210972,B,3191,497
532,497,3191,209501,B,3191,497
533,498,2423,224461,A,498,2423
534,499,1365,210973,A,499,1365
535,499,1365,209502,A,499,1365
536,500,2234,224399,B,2234,500
537,501,3410,210974,B,3410,501
538,501,3410,209503,B,3410,501
539,502,1464,224475,B,1464,502
540,503,719,209504,B,719,503
541,503,719,210975,B,719,503
542,504,4629,224400,A,504,4629
543,505,2136,210976,A,505,2136
544,505,2136,209505,A,505,2136
545,468,1625,224462,A,468,1625
546,506,124,209506,A,506,124
547,506,124,210977,A,506,124
548,507,2919,224401,B,2919,507
549,508,1874,209507,A,508,1874
550,508,1874,210978,A,508,1874
551,509,3859,224507,A,509,3859
552,510,3683,209508,A,510,3683
553,510,3683,210979,A,510,3683
554,511,1628,224402,A,511,1628
555,512,3046,210980,B,3046,512
556,512,3046,209509,B,3046,512
557,513,4157,224463,A,513,4157
558,514,871,210981,A,514,871
559,514,871,209510,A,514,871
560,473,4448,224403,B,4448,473
561,515,3438,210982,B,3438,515
562,515,3438,209511,A,515,3438
563,516,3180,224476,A,516,3180
564,517,3621,209512,A,517,3621
565,517,3621,210983,A,517,3621
566,518,193,224404,A,518,193
567,519,3107,209513,A,519,3107
568,519,3107,210984,A,519,3107
569,520,1420,224464,B,1420,520
570,521,3823,210985,B,3823,521
571,521,3823,209514,B,3823,521
572,522,4591,224405,B,4591,522
573,523,2210,210986,A,523,2210
574,523,2210,209515,A,523,2210
575,524,668,225125,A,524,668
576,525,378,210987,B,378,525
577,525,378,209516,B,378,525
578,526,4783,224406,B,4783,526
579,527,3361,210988,A,527,3361
580,527,3361,209517,A,527,3361
581,528,3390,224477,B,3390,528
582,529,2481,210989,B,2481,529
583,530,395,224407,A,530,395
584,531,4612,210990,A,531,4612
585,532,4562,224508,A,532,4562
586,533,2316,210991,B,2316,533
587,534,4524,224408,B,4524,534
588,535,731,210992,B,731,535
589,536,3830,224478,A,536,3830
590,537,3000,224409,B,3000,537
591,538,2811,211023,A,538,2811
592,539,3414,224535,B,3414,539
593,540,3522,211024,A,540,3522
594,541,15,224410,B,15,541
595,209,610,211025,A,209,610
596,542,2513,224479,A,542,2513
597,543,4508,211026,A,543,4508
598,544,146,224411,B,146,544
599,545,1363,211027,A,545,1363
600,546,3751,224509,B,3751,546
601,547,260,211028,B,260,547
602,548,4309,224412,B,4309,548
603,549,895,211029,A,549,895
604,550,4746,224480,A,550,4746
605,551,2452,211030,B,2452,551
606,552,2152,224413,A,552,2152
607,553,1591,211031,B,1591,553
608,554,75,224548,B,75,554
609,555,1457,211032,B,1457,555
610,556,4481,224414,A,556,4481
611,557,2428,211033,B,2428,557
612,558,1044,224481,A,558,1044
613,559,4204,211034,A,559,4204
614,560,2546,224415,B,2546,560
615,561,2845,211035,A,561,2845
616,562,1602,224510,B,1602,562
617,563,665,211036,A,563,665
618,564,1891,224416,B,1891,564
619,565,2460,211037,B,2460,565
620,566,4467,224482,A,566,4467
621,567,277,211038,B,277,567
622,568,1076,224418,B,1076,568
623,569,1078,211039,A,569,1078
624,570,3588,224536,B,3588,570
625,571,2767,211040,A,571,2767
626,572,2657,224419,A,572,2657
627,573,3678,211041,B,3678,573
628,574,1524,224483,B,1524,574
629,575,4671,211042,A,575,4671
630,576,1350,224420,B,1350,576
631,577,2404,211043,B,2404,577
632,578,2169,224511,B,2169,578
633,579,1440,211044,A,579,1440
634,580,750,224421,A,580,750
635,581,256,211045,B,256,581
636,63,1669,224484,A,63,1669
637,582,1929,211046,A,582,1929
638,583,4769,209578,A,583,4769
639,584,3604,211047,A,584,3604
640,585,381,209579,A,585,381
641,586,2631,211048,B,2631,586
642,587,2126,209580,A,587,2126
643,588,4140,211049,A,588,4140
644,589,3008,209581,B,3008,589
645,590,1135,211050,A,590,1135
646,591,4116,209582,A,591,4116
647,592,1044,211051,A,592,1044
648,593,108,209583,A,593,108
649,594,2101,211052,A,594,2101
650,13,4381,209584,A,13,4381
651,595,3709,211053,A,595,3709
652,596,2604,209585,A,596,2604
653,597,352,211054,A,597,352
654,598,1409,209586,A,598,1409
655,599,2538,211055,B,2538,599
656,600,1277,209587,B,1277,600
657,601,2129,211056,A,601,2129
658,602,2718,209588,B,2718,602
659,603,516,224422,A,603,516
660,604,4157,209589,A,604,4157
661,604,4157,211057,A,604,4157
662,230,2315,224565,B,2315,230
663,605,196,209590,A,605,196
664,605,196,211058,A,605,196
665,394,2786,224423,A,394,2786
666,606,3450,209591,B,3450,606
667,606,3450,211059,B,3450,606
668,607,3222,224485,A,607,3222
669,608,461,211060,B,461,608
670,608,461,209592,B,461,608
671,440,3044,224424,A,440,3044
672,609,4345,209593,A,609,4345
673,609,4345,211061,A,609,4345
674,610,3702,224512,B,3702,610
675,611,3634,211062,A,611,3634
676,611,3634,209594,B,3634,611
677,612,1383,224425,B,1383,612
678,613,233,209595,B,233,613
679,613,233,211063,B,233,613
680,614,2893,224486,A,614,2893
681,615,2369,209596,A,615,2369
682,615,2369,211064,A,615,2369
683,529,3094,224426,A,529,3094
684,149,1481,211065,A,149,1481
685,149,1481,209597,B,1481,149
686,616,4667,224537,B,4667,616
687,617,2237,211066,A,617,2237
688,617,2237,209598,A,617,2237
689,618,3479,224427,A,618,3479
690,619,3848,209599,B,3848,619
691,619,3848,211067,B,3848,619
692,620,3757,224487,B,3757,620
693,621,496,209600,B,496,621
694,621,496,211068,B,496,621
695,622,3389,224428,B,3389,622
696,623,2514,211069,B,2514,623
697,623,2514,209601,A,623,2514
698,624,4491,224513,B,4491,624
699,625,4513,209602,B,4513,625
700,625,4513,211070,B,4513,625
701,626,3671,224429,A,626,3671
702,627,2384,209603,B,2384,627
703,628,2791,224488,A,628,2791
704,629,3275,209604,B,3275,629
705,629,3275,211214,B,3275,629
706,630,1156,224430,B,1156,630
707,631,4339,209605,B,4339,631
708,631,4339,211215,B,4339,631
709,632,2044,224551,B,2044,632
710,633,1488,211216,A,633,1488
711,633,1488,209606,B,1488,633
712,527,2508,224431,B,2508,527
713,634,138,211217,B,138,634
714,634,138,209607,B,138,634
715,635,3027,224489,A,635,3027
716,636,1954,211218,A,636,1954
717,637,3688,209608,A,637,3688
718,638,3973,211219,A,638,3973
719,639,3138,209609,A,639,3138
720,640,3983,211220,B,3983,640
721,641,2774,209610,B,2774,641
722,642,1039,211221,A,642,1039
723,643,3934,209611,A,643,3934
724,644,483,211222,A,644,483
725,645,2943,209612,B,2943,645
726,646,200,211223,A,646,200
727,403,3700,209613,A,403,3700
728,647,3876,211224,A,647,3876
729,648,3480,209614,A,648,3480
730,649,2998,211225,B,2998,649
731,71,2512,209615,B,2512,71
732,650,2224,211226,A,650,2224
733,651,366,209616,B,366,651
734,572,2211,211227,A,572,2211
735,17,45,209617,A,17,45
736,652,261,211228,B,261,652
737,32,3827,209618,B,3827,32
738,653,2030,211229,B,2030,653
739,654,3434,209619,A,654,3434
740,655,4636,211230,B,4636,655
741,318,4538,209620,A,318,4538
742,656,4153,211231,A,656,4153
743,304,1138,209621,B,1138,304
744,657,3913,211232,B,3913,657
745,658,2180,209622,A,658,2180
746,659,3151,211233,B,3151,659
747,660,4448,209623,B,4448,660
748,661,2407,211234,B,2407,661
749,662,178,209624,B,178,662
750,663,3744,211235,A,663,3744
751,664,658,209625,A,664,658
752,665,3589,211236,B,3589,665
753,666,30,209626,B,30,666
754,667,509,211237,A,667,509
755,668,3487,209627,A,668,3487
756,669,4794,211238,A,669,4794
757,670,1943,209628,B,1943,670
758,671,2516,211239,A,671,2516
759,672,4283,209629,A,672,4283
760,673,715,211240,A,673,715
761,430,1608,209630,B,1608,430
762,674,586,211241,A,674,586
763,675,3479,209631,A,675,3479
764,676,740,211242,A,676,740
765,677,3856,209632,B,3856,677
766,400,2238,211243,B,2238,400
767,111,3414,209633,A,111,3414
768,678,818,211244,A,678,818
769,679,2789,209634,B,2789,679
770,680,3834,211245,A,680,3834
771,681,4219,209635,A,681,4219
772,682,2906,211246,B,2906,682
773,683,1956,209636,A,683,1956
774,684,3922,211247,B,3922,684
775,685,2488,209637,B,2488,685
776,686,3053,211248,B,3053,686
777,687,4645,224432,A,687,4645
778,688,4674,211249,B,4674,688
779,689,4781,224514,A,689,4781
780,690,2244,211250,A,690,2244
781,691,1782,224433,A,691,1782
782,692,900,211251,B,900,692
783,692,900,209698,B,900,692
784,144,2954,224490,A,144,2954
785,693,265,211252,A,693,265
786,693,265,209699,A,693,265
787,694,1586,224434,B,1586,694
788,695,4730,211253,A,695,4730
789,695,4730,209700,B,4730,695
790,696,3708,224538,A,696,3708
791,697,3837,209701,B,3837,697
792,697,3837,211254,B,3837,697
793,698,2846,224435,A,698,2846
794,699,1281,209702,A,699,1281
795,152,1323,224491,B,1323,152
796,700,1531,209703,A,700,1531
797,701,3241,224436,A,701,3241
798,136,1930,209704,A,136,1930
799,702,1671,224515,A,702,1671
800,703,2896,209705,B,2896,703
801,704,4568,224437,A,704,4568
802,475,3583,209706,A,475,3583
803,705,2618,224492,B,2618,705
804,706,4435,209707,A,706,4435
805,707,3581,224438,B,3581,707
806,267,2483,209708,B,2483,267
807,708,4049,224848,A,708,4049
808,709,4796,209709,B,4796,709
809,710,720,224439,B,720,710
810,711,663,209710,B,663,711
811,712,3121,224493,A,712,3121
812,137,4214,209711,A,137,4214
813,713,854,224440,A,713,854
814,714,2353,209712,A,714,2353
815,715,3383,224516,A,715,3383
816,37,3639,209713,B,3639,37
817,716,1959,224494,B,1959,716
818,717,1616,209714,B,1616,717
819,718,1365,224539,A,718,1365
820,609,1569,209715,B,1569,609
821,719,1121,224495,A,719,1121
822,720,1366,209716,A,720,1366
823,721,295,224517,A,721,295
824,722,2648,209717,B,2648,722
825,723,131,224496,A,723,131
826,724,4013,209718,B,4013,724
827,725,509,224555,B,509,725
828,726,3525,209719,A,726,3525
829,727,849,224497,B,849,727
830,728,3406,209720,A,728,3406
831,729,340,224518,A,729,340
832,730,3835,209721,A,730,3835
833,731,3700,224498,A,731,3700
834,732,1475,209722,B,1475,732
835,733,1090,224540,A,733,1090
836,734,4298,209723,A,734,4298
837,205,2660,224499,A,205,2660
838,735,2538,209724,A,735,2538
